Provinces,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3
jiangxi,312.366666659,2332.114583355,4234.891249983,4908.763333374,2716.740833336,2289.451249997,5320.992083378,4874.114166631,1964.823750004,2521.351249988,6452.831250028,5252.295416624,2245.684166689,2642.091250018,2974.027500001
jilin,19.613333332,1338.030000006,1423.080416668,752.220416666,91.047916664,1555.098750007,2131.652916681,1248.874583366,112.166666666,1536.059166667,3361.358333347,1616.154583337,163.637499997,2047.618333335,1465.035416644
jiangsu,619.862083336,3624.414583365,4014.133750026,5304.329166666,2767.632083314,6259.023750032,6234.289583363,7324.852083338,3093.831666672,6507.23291671,6952.566666683,5442.449166697,2628.365000003,4375.092083327,3150.090833334
liaoning,79.825416667,803.805000001,1429.999166667,857.321666665,154.943333344,1137.85041667,2119.122499987,714.364166668,95.670833332,653.289166663,2005.243333341,1252.266250004,406.357083318,2041.376666674,1817.467500015
ningxia,38.582916667,734.862499999,1223.011249998,620.26833333,172.574583337,1710.307083328,1871.492500003,807.242083332,316.952499999,1448.392083332,1857.462500001,953.317083335,355.86958333,1456.335416674,1351.482916667
neimenggu,61.325416673,2552.148333334,3669.580833344,1540.776666656,291.082083325,4350.182916695,4526.539166644,1762.646250006,260.89083334,3897.076249994,6172.384166653,2271.477499998,537.77625001,3785.245833304,3535.167916665
qinghai,36.765416669,712.987083332,1049.881666669,550.133749997,115.546249997,1028.92166666,1144.83833333,538.781249999,104.308333328,1206.270833346,1603.472083324,849.317916656,245.034583334,1161.006249999,861.415416663
shanxi,258.326249998,2063.74875,2771.351666672,1916.485000002,845.404166656,3027.187916666,3052.398750009,2131.724166661,1078.532499995,3767.009166663,3696.39875,2509.265833335,1080.804583335,2677.523333323,2258.945833345
shandong,1223.484583337,5921.440833329,5444.779999993,3931.920833335,2251.018750013,6862.671249959,6368.523333311,6259.821249965,3072.73375002,7923.866249959,7356.199166668,6074.889583385,3433.120833332,6532.927083318,4403.414166663
sichuan,1433.098750015,6099.963750012,4973.733750003,6946.132499963,6566.663749957,8308.296666664,6155.327499996,7485.536250023,5193.904583327,6835.896249984,6362.753333344,7145.259583375,4593.264583338,6710.043750006,3703.510416668
shanxi,760.009583331,3595.941250006,3276.727916683,2752.586666675,2452.914583342,4557.934583323,3158.183749986,2280.556250018,1786.769999995,4105.924166606,4170.729999997,3109.82208335,1731.945416672,2556.550416676,1808.920000003
shanghai,16.733333334,118.933749997,152.337499999,177.780833334,106.118333337,272.095416669,246.787083336,271.886249999,90.72,43.307916666,320.647916669,288.812499999,114.030833335,226.990416667,196.389166668
tianjin,42.97208333,345.063749999,235.743750002,229.741666669,72.078750003,377.847500002,260.984166667,305.17541667,46.975833334,201.424583337,251.574166664,142.583333334,41.147499999,155.012500001,132.608749997
xinjiang,173.387916668,3572.146666689,3585.482916687,2512.827916648,921.55166667,5472.531249955,5900.575416613,2601.047916624,1165.120000008,6166.351249951,5661.187916662,2464.112083333,2029.405416713,5793.307916671,5028.62833337
xizang,19.521666667,632.415,549.110833337,251.855000004,47.229166665,296.325416669,304.260833336,133.836249997,7.111666668,201.004166664,83.286666669,9.625000002,21.243750002,165.725,67.604583332
yunnan,1068.517916666,4043.101250001,3119.373333343,6068.647083364,4724.822499997,5522.219999986,3160.833749995,4513.497083336,2999.530833331,3168.418750004,2965.577499995,3983.584583348,2338.770833343,2830.807916668,1057.674583333
zhejiang,596.705833333,3391.665833351,4496.515416674,4354.771249965,2170.607083323,3968.643333334,6365.763749973,5806.814166671,2938.36874998,5492.240000026,6955.429999947,4078.45374999,2195.823333332,3784.195416688,3343.806666649
